datetime,Depth_meter,Water_Temperature_celsius
2000/9/9 0:00,0,15.1696543
2000/9/10 0:00,0,15.15257109
2000/9/11 0:00,0,14.92939961
2000/9/12 0:00,0,14.97261261
2000/9/13 0:00,0,15.02336543
2000/9/14 0:00,0,14.48909098
2000/9/15 0:00,0,14.6341131
2000/9/16 0:00,0,14.13349333
2000/9/17 0:00,0,14.1414896
2000/9/18 0:00,0,14.04995089
2000/9/19 0:00,0,14.01025283
2000/9/20 0:00,0,13.95640218
2000/9/21 0:00,0,14.08123722
2000/9/22 0:00,0,14.1870204
2000/9/23 0:00,0,13.88412218
2000/9/24 0:00,0,13.84352238
2000/9/25 0:00,0,13.69364536
2000/9/26 0:00,0,13.41783907
2000/9/27 0:00,0,13.39199522
2000/9/28 0:00,0,13.40000763
2000/9/29 0:00,0,13.30907603
2000/9/30 0:00,0,12.63935748
2000/10/1 0:00,0,12.87192892
2000/10/2 0:00,0,12.56019372
2000/10/3 0:00,0,12.66357943
2000/10/4 0:00,0,12.65161851
2000/10/5 0:00,0,12.79039734
2000/10/6 0:00,0,12.79631227
2000/10/7 0:00,0,12.76890787
2000/10/8 0:00,0,12.20093283
2000/10/9 0:00,0,12.03071816
2000/10/10 0:00,0,11.96117151
2000/10/11 0:00,0,11.93718959
2000/10/12 0:00,0,11.81686866
2000/10/13 0:00,0,11.02039647
2000/10/14 0:00,0,10.71723085
2000/10/15 0:00,0,10.96569065
2000/10/16 0:00,0,10.93294308
2000/10/17 0:00,0,10.79810689
2000/10/18 0:00,0,10.73210135
2000/10/19 0:00,0,10.83834271
2000/10/20 0:00,0,10.78723467
2000/10/21 0:00,0,10.69036735
2000/10/22 0:00,0,9.665278265
2000/10/23 0:00,0,9.410536137
2000/10/24 0:00,0,9.323849854
2000/10/25 0:00,0,9.408687944
2000/10/26 0:00,0,9.498191266
2000/10/27 0:00,0,9.520027203
2000/10/28 0:00,0,9.510626519
2000/10/29 0:00,0,9.376524522
2000/10/30 0:00,0,8.25219807
2000/10/31 0:00,0,8.096272294
2000/11/1 0:00,0,7.961963324
2000/11/2 0:00,0,7.221710437
2000/11/3 0:00,0,7.073992418
